exp,f1_mean,f1_std,auc
random_base,0.16990285265758553,0.0,0.15955249771700922
entropy_base,0.1786785620048152,0.0,0.16394035239062404
info_density_base,0.17445295594753424,0.0,0.16182754936198357
random_SSL,0.6394907066586455,0.0,0.6365249193041151
entropy_SSL,0.6364579987948068,0.0,0.6350085653721957
info_density_SSL,0.64361989692811,0.0,0.6385895144388474
